Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
C#. Программирование 2D и 3D векторной графики (+CD),"Тюкачев Николай Аркадиевич, Хлебостроев Виктор Григорьевич",Лань:Учебники для вузов. Специальная литература,1822,3037,40,На складе
Клиентские технологии веб-дизайна. HTML5 и CSS3. Учебное пособие,Диков Андрей Валентинович,Лань:Учебники для вузов. Специальная литература,1246,2077,40,На складе
Технология разработки программного обеспечения. Учебное пособие,Зубкова Татьяна Михайловна,Лань:Учебники для вузов. Специальная литература,2400,4000,40,На складе
"Swift. Основы разработки приложений под iOS, iPadOS и macOS",Усов Василий,Питер:Библиотека программиста,1338,1716,22,Ограничено
Docker на практике,"Миллан Иан, Сейерс Эйдан Хобсон",ДМК-Пресс,2680,4466,40,На складе
Swift подробно,Чейрд Инт Вейн,ДМК-Пресс,2680,4466,40,На складе
Java. Справочник разработчика,"Эванс Бенджамин, Флэнаган Дэвид",Вильямс,3227,5378,40,Ограничено
Оптимизация программ на C++. Проверенные методы повышения производительности,Гантерот Курт,Диалектика,3227,5378,40,На складе
Компьютерное моделирование полупроводниковых систем в MatLab 6.0. Учебное пособие,Герман-Галкин Сергей Германович,Корона-Принт:Учебное пособие,337,562,40,На складе
Идиомы и паттерны проектирования в современном С++,Пикус Федор Г.,ДМК-Пресс,2177,3628,40,На складе
Изучаем Python. Том 1,Лутц Марк,Диалектика,4086,6810,40,На складе
Рефакторинг кода на JavaScript. Улучшение проекта существующего кода,Фаулер Мартин,Вильямс,4840,8066,40,Ограничено
Язык программирования Python: практикум. Учебное пособие,Жуков Роман Александрович,ИНФРА-М:Среднее профессиональное образование,1597,2662,40,На складе
Машинное обучение и безопасность. Защита систем с помощью данных и алгоритмов,"Чио Кларенс, Фримэн Дэвид",ДМК-Пресс,1758,2930,40,На складе
Разработка интеллектуальных систем. Введение в технологию машинного обучения,Хултен Джефф,ДМК-Пресс,1508,2513,40,На складе
Экстремальное программирование. Разработка через тестирование,Бек Кент,Питер:Библиотека программиста,1206,1546,22,На складе
Объектно-ориентированное программирование с примерами на C#. Учебное пособие,Хорев Павел Борисович,Форум:Среднее профессиональное образование,1895,3159,40,На складе
Применение пакета MATLAB для анализа резонансных явлений в электрических цепях. Учебно-мет. пособие,,Солон-пресс:Библиотека студента,308,513,40,На складе
Применение пакета MATLAB для анализа резонансных явлений в электрических цепях. Учебно-мет. пособие,,Солон-пресс:Библиотека студента,615,1025,40,На складе
Программирование. Сборник задач. Учебное пособие,Архипов Олег Григорьевич и др.,Лань:Учебники для вузов. Специальная литература,2114,3524,40,Ограничено
Python. Книга Рецептов,"Бизли Дэвид, Джонс Брайан К.",ДМК-Пресс,3016,5026,40,На складе
Глубокое обучение с подкреплением на Python. OpenAI Gym и TensorFlow для профи,Равичандиран Судхарсан,Питер:Библиотека программиста,1483,1901,22,На складе
Грокаем глубокое обучение,Траск Эндрю,Питер:Библиотека программиста,1184,Нет старого прайса,Нет скидки,На складе
Практика реактивного программирования в SPRING 5,"Докука Олег, Лозинский Игорь",ДМК-Пресс,2848,4746,40,На складе
Python без проблем. Решаем реальные задачи и пишем полезный код,Зингаро Даниэль,Питер:Библиотека программиста,1618,2074,22,На складе
"Создаем динамические веб-сайты с помощью PHP, MySQL, JavaScript, CSS и HTML5",Никсон Робин,Питер:Бестселлеры O`Reilly,2786,Нет старого прайса,Нет скидки,На складе
Кибердзюцу. Кибербезопасность для современных ниндзя,Маккарти Бен,Питер:Библиотека программиста,1845,2365,22,На складе
Black Hat Go. Программирование для хакеров и пентестеров,Коттманн Дэн и др.,Питер:Библиотека программиста,2511,3219,22,На складе
Алгоритмы неформально. Инструкция для начинающих питонистов,Брэдфорд Такфилд,Питер:Библиотека программиста,1417,1817,22,На складе
Разработка интерфейсов. Паттерны проектирования,Тидвелл Дженифер и др.,Питер:Бестселлеры O`Reilly,2766,3546,22,На складе
Компьютерные системы. Архитектура и программирование,"Брайант Рэндал Э., О`Халларон Дэвид",ДМК-Пресс,4187,6979,40,На складе
Социальная инженерия и этичный хакинг на практике,Грей Джо,ДМК-Пресс,1676,2793,40,На складе
Spring быстро,Спилкэ Лауренциу,Питер,2836,3636,22,На складе
Kali Linux. Библия пентестера,Хаваджа Гас,Питер:Для профессионалов,4241,5437,22,На складе
Теория автоматического управления в примерах и задачах с решениями в MATLAB. Учебное пособие,Гайдук Анатолий Романович и др.,Лань:Учебники для вузов. Специальная литература,3578,5963,40,На складе
Разработка мобильных приложений. Учебник,Коржинский Сергей Николавеич,Кнорус:Среднее профессиональное образование,1708,2846,40,Ограничено
Scala. Профессиональное программирование,Одерски Мартин и др.,Питер:Библиотека программиста,5659,7255,22,Ограничено
Язык программирования С++,Страуструп Бьерн,Бином,4575,Нет старого прайса,Нет скидки,На складе
Интернет вещей для начинающих. Визуальное программирование микроконтроллеров семейства ESP8266,Шамин Алексей Алексеевич,Инфра-Инженерия,820,1366,40,На складе
Моделирование систем управления. Учебник для вузов,"Семенов Анатолий Дмитриевич, Юрков Николай Кондратьевич",Лань:Компьютеры и программное обеспечение,3619,6031,40,Ограничено
Исследование операций. Том 2. Задачи транспортного типа. Учебник для вузов,Трушков Александр Сергеевич,Лань:Компьютеры и программное обеспечение,3017,5029,40,На складе
"Python для сетевых инженеров. Автоматизация сети, программирование и DevOps",Чоу Эрик,Питер:Для профессионалов,3815,4891,22,На складе
Kafka в действии,Скотт Дилан и др.,ДМК-Пресс,2512,4187,40,На складе
Python. К вершинам мастерства. Лаконичное и эффективное программирование,Лусиану Рамальо,ДМК-Пресс,4187,6979,40,На складе
Объяснимые модели искусственного интеллекта на Python. Модель искусственного интеллекта,Мишра Прадипта,ДМК-Пресс,2177,3628,40,На складе
Проектирование гибких программ,"Хансон Крис, Сассман Джеральд Джей",ДМК-Пресс,2512,4187,40,На складе
Идеальная работа. Программирование без прикрас,Мартин Роберт С.,Питер:Библиотека программиста,1361,1745,22,На складе
Криптографические основы блокчейн-технологий,Ищукова Евгения Александровна и др.,ДМК-Пресс,1676,2793,40,На складе
Web-программирование на Python. Учебное пособие,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,2102,3504,40,На складе
Go. Идиомы и паттерны проектирования,Боднер Джон,Питер:Бестселлеры O`Reilly,2823,3619,22,На складе
Python. Чистый код для продолжающих,Свейгарт Эл,Питер:Библиотека программиста,2263,2901,22,На складе
Как проектировать программы,Фелляйзен Маттиас и др.,ДМК-Пресс,3350,5583,40,На складе
Введение в программирование и структуры данных,Фислер Кати и др.,ДМК-Пресс,2512,4187,40,На складе
Введение в гибридные технологии разработки мобильных приложений. Учебное пособие. СПО,"Заяц Анатолий Моисеевич, Васильев Николай Павлович",Лань:Компьютеры и программное обеспечение,1696,2827,40,Ограничено
Программирование в САПР. Учебное пособие,Лянг Виктор Федорович,ИНФРА-М:Высшее образование. Бакалавриат,3452,5753,40,На складе
Введение в гибридные технологии разработки мобильных приложений. Учебное пособие,"Васильев Николай Павлович, Заяц Анатолий Моисеевич",Лань:Учебники для вузов. Специальная литература,2966,4943,40,На складе
SQL. Быстрое погружение,Шилдс Уолтер,Питер:Библиотека программиста,1253,Нет старого прайса,Нет скидки,На складе
Spring Boot по-быстрому,Хеклер Марк,Питер:Бестселлеры O`Reilly,2397,3073,22,На складе
Параллельное программирование на современном С++,Гримм Райнер,ДМК-Пресс,3350,5583,40,На складе
Устройство и программирование автономных роботов. Проекты на Python и Raspberry PI,Стейпл Дэнни,ДМК-Пресс,2177,3628,40,На складе
Практический хакинг интернета вещей,Чанцис Фотиос и др.,ДМК-Пресс,3016,5026,40,На складе
Spring в действии,Уоллс Крейг,ДМК-Пресс,3350,5583,40,На складе
Практическое введение в решение дифференциальных уравнений в Python,Ершов Николай Михайлович,ДМК-Пресс,1676,2793,40,На складе
Open Source. Разработка программ с открытым исходным кодом,Эгбал Надья,Питер:Библиотека программиста,2405,3083,22,На складе
"Теоретический минимум по Computer Science. Сети, криптография и data science","Феррейра Фило Владстон, Пиктет Мото",Питер:Библиотека программиста,1701,2181,22,На складе
Программирование в Roblox. Сделать игру - проще простого,Брамбо Зандер,ДМК-Пресс,1676,2793,40,На складе
Алгоритмы. Самый краткий и понятный курс,Луридас Панос,Бомбора:Библиотека MIT,607,832,27,На складе
Масштабируемый рефакторинг. Возвращаем контроль над кодом,Лемер Мод,Питер:Бестселлеры O`Reilly,1631,2091,22,На складе
Многопоточный JavaScript,"Хантер Томас II, Инглиш Брайан",ДМК-Пресс,2177,3628,40,На складе
JavaScript. Визуальные редакторы. Учебное пособие для СПО,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,2173,3621,40,На складе
JavaScript. Визуальные редакторы. Учебное пособие для вузов,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,1919,3198,40,Ограничено
Языки программирования и методы трансляции. Учебное пособие для вузов,Свердлов Сергей Залманович,Лань:Компьютеры и программное обеспечение,3115,5192,40,На складе
Алгоритмы Data Science и их практическая реализация на Python,Протодьяконов Андрей Владимирович и др.,Инфра-Инженерия,1791,2985,40,Ограничено
Графический анализ на языке R. Учебно-методическое пособие,Лукьянов Павел Борисович,Прометей,726,1210,40,На складе
Head First. Изучаем C#,"Стиллмен Эндрю, Грин Дженнифер",Питер:Head First (O'Reilly),2908,3728,22,На складе
Основы алгоритмизации и программирования на Visual C++. Учебное пособие,Гуриков Сергей Ростиславович,ИНФРА-М:Высшее образование. Бакалавриат,3210,5350,40,На складе
Алгоритмы и программы. Язык С++. Учебное пособие для СП,"Конова Елена Александровна, Поллак Галина Андреевна",Лань:Учебники для вузов. Специальная литература,1682,2803,40,На складе
Вероятностное программирование. Учебное пособие,Колбин Вячеслав Викторович,Лань:Математика,3722,6204,40,Ограничено
Программирование на языке Си. Учебное пособие для вузов,Рацеев Сергей Михайлович,Лань:Компьютеры и программное обеспечение,3039,5065,40,На складе
Руткиты и буткиты. Обратная разработка вредоносных программ и угрозы следующего поколения,Матросов Александр и др.,ДМК-Пресс,3184,5306,40,На складе
Профессиональный бенчмарк. Искусство измерения производительности,Акиньшин Андрей,Питер:Библиотека программиста,2836,3636,22,На складе
Язык программирования C# 9 и платформа .NET 5: основные принципы и практики программирования,"Троелсен Эндрю, Джепикс Филипп",Диалектика,6451,10752,40,На складе
Этичный хакинг. Практическое руководство по взлому,Грэм Дэниел Г.,Питер:Библиотека программиста,2255,2891,22,На складе
Основы построения экономических моделей в Excel. Учебник для СПО,"Воскобойников Юрий Евгеньевич, Мухина Ирина Николаевна",Лань:Компьютеры и программное обеспечение,1760,2933,40,Ограничено
Программирование на языке Си.Учебное пособие для СПО,Рацеев Сергей Михайлович,Лань:Компьютеры и программное обеспечение,2878,4796,40,Ограничено
JavaScript.Как писать программы.Учебное пособие для вузов,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,1705,2842,40,Ограничено
JavaScript.Как писать программы Учебное пособие для СПО,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,1705,2842,40,На складе
Построение распределенных систем на базе WebSocket. Учебное пособие для вузов,"Хабаров Сергей Петрович, Шилкина Мария Львовна",Лань:Компьютеры и программное обеспечение,2226,3710,40,На складе
Svelte и Sapper в действии,Волкманн Марк,Питер:Для профессионалов,4197,5381,22,На складе
Хочу в геймдев! Основы игровой разработки для начинающих,"Уточкин Вячеслав Николаевич, Сахнов Константин Сергеевич",Бомбора:Российский компьютерный бестселлер,1013,1388,27,На складе
Разработка игр и теория развлечений,Костер Рэф,ДМК-Пресс,1925,3209,40,На складе
Структуры данных в Python. Начальный курс,Шихи Дональд Р.,ДМК-Пресс,1508,2513,40,На складе
Большая книга проектов Python,Свейгарт Эл,Питер,1688,2164,22,На складе
System Design. Подготовка к сложному интервью,Сюй Алекс,Питер,1386,Нет старого прайса,Нет скидки,На складе
Отзывчивый дизайн на HTML5 и CSS3 для любых устройств,Фрэйн Бен,Питер,2268,2908,22,На складе
Глубокое обучение с подкреплением. Теория и практика на языке Python,"Грессер Лаура, Кенг Ван Лун",Питер:Библиотека программиста,2540,3256,22,На складе
Искусство WebAssembly. Создание безопасных межплатформенных высокопроизводительных приложений,Баттальини Рик,ДМК-Пресс,1676,2793,40,На складе
Микросервисы Spring в действии,"Карнелл Джон, Санчес Иллари Уайлупо",ДМК-Пресс,3016,5026,40,На складе
Осваиваем архитектуру Transformer. Разработка современных моделей с помощью передовых методов,"Йылдырым Саваш, Асгари-Ченаглу Мейсам",ДМК-Пресс,2512,4187,40,На складе
Основы юзабилити-тестирования,Барнум Кэрол М.,ДМК-Пресс,3016,5026,40,На складе
Творческие проекты с микроконтроллером в среде TinyGo и WebAssembly,Тил Тобиас,ДМК-Пресс,1841,3069,40,На складе
Вычисления в кольцах некоммутативных многочленов. Учебное пособие для вузов,Цирулик Владимир Григорьевич,Лань:Компьютеры и программное обеспечение,3053,5088,40,На складе
Практический анализ двоичных файлов,Эндриесс Дэннис,ДМК-Пресс,2848,4746,40,На складе
Изучаем C# через разработку игр на Unity,Ферроне Харрисон,Питер:Библиотека программиста,1830,2346,22,На складе
Основы алгоритмизации и программирования на языке Паскаль. Лабораторный практикум. Учебное пособие,Коренская Ирина Николаевна,Лань:Компьютеры и программное обеспечение,1205,2009,40,На складе
Исследование операций. Том 1. Линейное программирование. Учебник для вузов,Трушков Александр Сергеевич,Лань:Компьютеры и программное обеспечение,1835,3059,40,Ограничено
Как программировать на С,"Дейтел Харви, Дейтел Пол Дж.",Бином,2889,Нет старого прайса,Нет скидки,На складе
Игра в цифры. Как аналитика позволяет видеоиграм жить лучше,Сабиров Василий Константинович,Бомбора:Российский компьютерный бестселлер,1407,1928,27,На складе
Apache Airflow и конвейеры обработки данных,"Харенслак Бас, Руйтер Джулиан де",ДМК-Пресс,3184,5306,40,На складе
Python для всех,Северанс Чарльз Р.,ДМК-Пресс,1172,1953,40,На складе
Использование языка Python в теории вероятности. Учебник,Криволапов Сергей Яковлевич,Прометей,1774,2957,40,На складе
Экономика на Python. Учебник,"Хрипунова Марина Борисовна, Губернаторов Алексей Михайлович",Прометей,1291,2151,40,На складе
Black Hat Python. Программирование для хакеров и пентестеров,"Зейтц Джастин, Арнольд Тим",Питер:Библиотека программиста,1688,2164,22,На складе
Однострочники Python. Лаконичный и содержательный код,Майер Кристиан,Питер:Библиотека программиста,1688,2164,22,На складе
Гид Java-разработчика. Проектно-ориентированный подход,"Урма Рауль-Габриэль, Уорбэртон Ричард",Бомбора:Мировой компьютерный бестселлер,819,1122,27,На складе
"PHP 8. Объекты, шаблоны и методики программирования",Зандстра Мэтт,Диалектика,4840,8066,40,На складе
Python и DevOps. Ключ к автоматизации Linux,Гифт Ной и др.,Питер:Бестселлеры O`Reilly,2561,3283,22,На складе
Прикладное программирование на С/С++: с нуля,Иванов Всеволод Борисович,Солон-пресс:Программирование,838,1397,40,На складе
Введение в логическое программирование,"Дженесерет Майкл, Чаудри Винай К.",ДМК-Пресс,1508,2513,40,На складе
Параллельное программирование на C# и .NET Core,Шакти Танвар,ДМК-Пресс,1758,2930,40,На складе
Разработка игр на языке JavaScript. Учебное пособие,Беляев Сергей Алексеевич,Лань:Компьютеры и программное обеспечение,430,717,40,На складе
Параллельные и высокопроизводительные вычисления,"Роби Роберт, Замора Джулиана",ДМК-Пресс,4187,6979,40,На складе
Исследование операций в экономике. Практикум. Учебное пособие для вузов,Слабнов Виктор Дмитриевич,Лань:Компьютеры и программное обеспечение,2878,4796,40,Ограничено
"Паттерны разработки на Python. TDD, DDD и событийно-ориентированная архитектура","Персиваль Гарри, Грегори Боб",Питер:Для профессионалов,2127,2727,22,На складе
WebAssembly в действии,Галлан Жерар,Питер:Библиотека программиста,2823,3619,22,На складе
Тестирование программного обеспечения,Игнатьев Александр Владимирович,Лань:Компьютеры и программное обеспечение,543,905,40,На складе
Разработка моделей предметной области автоматизации. Учебник для вузов,Котлинский Сергей Владимирович,Лань:Компьютеры и программное обеспечение,3359,5598,40,На складе
Разработка моделей предметной области автоматизации. Учебник для СПО,Котлинский Сергей Владимирович,Лань:Компьютеры и программное обеспечение,3039,5065,40,На складе
Тестирование программного обеспечения. Учебное пособие для СПО,Игнатьев Александр Владимирович,Лань:Компьютеры и программное обеспечение,543,905,40,Ограничено
Проектирование человеко-машинного взаимодействия. Учебник для вузов,Игнатьев Александр Владимирович,Лань:Компьютеры и программное обеспечение,543,905,40,На складе
Программные коллекции данных. Проектирование и реализация. Учебник,Романенко Татьяна Александровна,Лань:Компьютеры и программное обеспечение,1760,2933,40,Ограничено
Программные коллекции данных. Проектирование и реализация. Учебное пособие для СПО,Романенко Татьяна Александровна,Лань:Компьютеры и программное обеспечение,1760,2933,40,На складе
C# 9 и .NET 5. Разработка и оптимизация,Прайс Марк Дж.,Питер:Для профессионалов,3545,4545,22,На складе
Clojure на производстве,Гришаев Иван,ДМК-Пресс,1676,2793,40,На складе
Алгоритмы ГИС,Сяо Нинчуань,ДМК-Пресс,2009,3349,40,На складе
Изучаем SHINY,Уикем Хэдли,ДМК-Пресс,2680,4466,40,На складе
Программирование. Учебник,Иванова Галина Сергеевна,Кнорус:Бакалавриат,1342,2237,40,Ограничено
Анализ поведенческих данных на R и PYTHON,Бюиссон Флоран,ДМК-Пресс,2512,4187,40,На складе
Оптимизация запросов PostgreSQL,Домбровская Генриэтта и др.,ДМК-Пресс,1758,2930,40,На складе
Разработка беспилотных транспортных средств,Лю Шаошань и др.,ДМК-Пресс,1841,3069,40,На складе
Сети 6G. Путь от 5G к 6G глазами разработчиков,Тонг Вэнь и др.,ДМК-Пресс,3350,5583,40,На складе
Корпоративные информационные системы на базе решения Oracle E-Business Suite. Калькуляция затрат,"Васильева Елена Викторовна, Громова Алла Александровна",Прометей,646,1076,40,На складе
Проектирование цифровых образовательных ресурсов,Коннова Лариса Петровна и др.,Прометей,1210,2016,40,На складе
Классические задачи Computer Science на языке Java,Копец Дэвид,Питер:Библиотека программиста,1545,1981,22,На складе
Моделирование и оптимизация процессов управления в технологических системах. Учебник,"Колтунов Игорь Ильич, Крыжановская Татьяна Георгиевна",Кнорус:Магистратура,1097,1828,40,На складе
Квантовые вычисления. Прикладной подход,Хидари Джек Д.,ДМК-Пресс,1676,2793,40,На складе
JavaScript. Полное руководство,Флэнаган Дэвид,Вильямс,4840,8066,40,На складе
Проектирование информационных систем. Методы и средства структурно-функционального проектирования,"Гвоздева Татьяна Вадимовна, Баллод Борис Анатольевич",Лань:Компьютеры и программное обеспечение,984,1640,40,Ограничено
Структуры дан.в C#.Лин.и нелин.динамич.структ.СПО,Симонова Елена Витальевна,Лань:Компьютеры и программное обеспечение,1280,2133,40,Ограничено
"Проектирование информационных систем. Стандартизация, техническое документирование информ. систем","Гвоздева Татьяна Вадимовна, Баллод Борис Анатольевич",Лань:Компьютеры и программное обеспечение,1577,2628,40,Ограничено
Системы отображения информации. Дискретные индикаторы. Учебник для вузов,Смирнов Виктор Михайлович,Лань:Компьютеры и программное обеспечение,2450,4083,40,На складе
"Инфокоммуникационные системы. Протоколы,интерфейсы. Практикум. СПО",Журавлев Антон Евгеньевич,Лань:Компьютеры и программное обеспечение,2062,3436,40,Ограничено
Нечеткое моделирование и управление в технических системах. Учебное пособие для вузов,Кудинов Юрий Иванович и др.,Лань:Компьютеры и программное обеспечение,2226,3710,40,На складе
"Swift. Основы разработки приложений под iOS, iPadOS и macOS",Усов Василий,Питер:Библиотека программиста,2116,2713,22,На складе
Система модулей Java,Парлог Николай,Питер:Для профессионалов,2558,3279,22,На складе
Игровой движок. Программирование и внутреннее устройство,Грегори Джейсон,Питер:Для профессионалов,5460,7000,22,На складе
Принципы юнит-тестирования,Хориков Владимир,Питер:Для профессионалов,1413,1811,22,На складе
Простой Python. Современный стиль программирования,Любанович Билл,Питер:Бестселлеры O`Reilly,2016,Нет старого прайса,Нет скидки,На складе
Kotlin. Сборник рецептов. Предметный подход,Коузен Кен,ДМК-Пресс,1676,2793,40,На складе
Олимпиадное программирование,Лааксонен Антти,ДМК-Пресс,1758,2930,40,На складе
Алгоритмы и структуры данных. Учебное пособие,Мясникова Нелли Александровна,Кнорус:Бакалавриат,1219,2032,40,На складе
Компьютерная арифметика. Учебное пособие. СПО (+CD),Иорданский Михаил Анатольевич,Лань:Компьютеры и программное обеспечение,1116,1860,40,Ограничено
Программирование. Практикум. Учебное пособие,Быкадорова Елена Анатольевна,Лань:Компьютеры и программное обеспечение,518,864,40,Ограничено
Системное программное обеспечение информационных мультимедиасистем. Учебное пособие,"Иванько Александр Федорович, Иванько Михаил Александрович",Лань:Компьютеры и программное обеспечение,718,1196,40,Ограничено
Распределенные системы,"Таненбаум Эндрю, Стин ван Мартен",ДМК-Пресс,3184,5306,40,На складе
Алгебра и геометрия с примерами на Python. Учебное пособие,"Борзунов Сергей Викторович, Кургалин Сергей Дмитриевич",Лань:Компьютеры и программное обеспечение,4298,7164,40,Ограничено
Организация и архитектура ЭВМ. Вычислительные системы. Учебное пособие,Журавлев Антон Евгеньевич,Лань:Компьютеры и программное обеспечение,1360,2266,40,На складе
Корпоративные информационные системы. Администрирование сетевого домена. Учебное пособие,Журавлев Антон Евгеньевич и др.,Лань:Компьютеры и программное обеспечение,1763,2938,40,Ограничено
Hello World! Программирование для детей и взрослых,"Сэнд Уоррен, Сэнд Картер",ДМК-Пресс,1841,3069,40,На складе
Методология создания информационных систем. Учебное пособие,"Карминский Александр Маркович, Черников Борис Васильевич",ИНФРА-М:Среднее профессиональное образование,1855,3092,40,На складе
"Разработка бизнес-приложений на платформе ""1С: Предприятие"". Учебное пособие",Дадян Эдуард Григорьевич,ИНФРА-М:Среднее профессиональное образование,2226,3710,40,На складе
Время UNIX. A History and a Memoir,Керниган Брайан,Питер:Библиотека программиста,1331,1706,22,Ограничено
Проектирование информационных систем. Учебное пособие. СПО,Вейцман Владимир Моисеевич,Лань:Компьютеры и программное обеспечение,2335,3892,40,Ограничено
Создание сайтов на основе WordPress. Учебное пособие для СПО,Сергеев Алексей Николаевич,Лань:Компьютеры и программное обеспечение,918,1530,40,На складе
"Интеграция управления программой и системной инженерии. Методы, инструменты и организационные систем",Мицуфуджи Акио и др.,ДМК-Пресс,2512,4187,40,На складе
Современный JavaScript для нетерпеливых,Хорстман Кэй С.,ДМК-Пресс,1841,3069,40,На складе
Инфокоммуникационные системы. Учебник,"Журавлев Антон Евгеньевич, Макшанов Андрей Владимирович",Лань:Компьютеры и программное обеспечение,2665,4442,40,На складе
Инфокоммуникационные системы. Учебник,Журавлев Антон Евгеньевич и др.,Лань:Компьютеры и программное обеспечение,2996,4993,40,На складе
Программирование на Rust. Официальный гайд,"Клабник Стив, Николс Кэрол",Питер:Для профессионалов,3416,4379,22,На складе
Проектирование информационных систем. Учебное пособие,Коваленко Владимир Васильевич,Форум:Высшее образование: Бакалавриат,2597,4328,40,На складе
Профессиональный TypeScript. Разработка масштабируемых JavaScript-приложений,Черный Борис,Питер:Бестселлеры O`Reilly,1700,2179,22,На складе
"Подробное руководство по DAX: бизнес-аналитика с Microsoft Power Bl, SQL Server Analysis Services","Феррари Альберто, Руссо Марко",ДМК-Пресс,3434,5723,40,На складе
Хаос-инжиниринг,"Розенталь Кейси, Джонс Нора",ДМК-Пресс,1676,2793,40,На складе
Цифровая обработка сигналов на системном уровне с использованием LabVIEW,"Кехтарнаваз Насер, Ким Намджин",ДМК-Пресс,1508,2513,40,На складе
Спортивное программирование. Новый нижний предел соревнований по программированию,"Халим Стивен, Халим Феликс",ДМК-Пресс,2680,4466,40,На складе
Python и наука о данных для чайников,"Мюллер Джон Пол, Массарон Лука",Диалектика,2474,4123,40,На складе
Криптография - наука о тайнописи. Учебное пособие,Фомичев Владимир Михайлович,Прометей,403,672,40,На складе
Искусство тестирования программ,Сандлер Кори и др.,Диалектика,3227,5378,40,Ограничено
Прикладное программирование. Учебное пособие,Никифоров Сергей Николаевич,Лань:Среднее профессиональное образование,784,1306,40,Ограничено
Python для программирования криптовалют,Сонг Джимми,Диалектика,4086,6810,40,На складе
Алгоритмы оптимизации,"Кохендерфер Майкл, Уилер Тим",Вильямс,4840,8066,40,Ограничено
"Мифический человеко-месяц, или Как создаются программные системы",Брукс Фредерик,Питер:Библиотека программиста,1710,2192,22,На складе
"Разработка приложений на С++ с использованием Boost. Рецепты, упрощающие разработку вашего приложени",Полухин Антон,ДМК-Пресс,2009,3349,40,На складе
PHP и MySQL. 25 уроков для начинающих,Дронов Владимир Александрович,BHV:Для Начинающих,812,1353,40,Ограничено
Введение в язык Pascal. Учебное пособие,Абрамов Владимир Геннадьевич и др.,Кнорус:Среднее профессиональное образование,1219,2032,40,Ограничено
Разработка и реализац.портальн.решений: Практикум,"Лукьянов Павел Борисович, Маркова Светлана Владимировна",Прометей,646,1076,40,Ограничено
Транспортная логистика (линейное программирование). Учебное пособие,Пашков Николай Николаевич,Прометей,646,1076,40,На складе
Генетические алгоритмы на Python,Вирсански Эйял,ДМК-Пресс,2177,3628,40,На складе
C#. Основы программирования. Учебное пособие,"Тюкачев Николай Аркадиевич, Хлебостроев Виктор Григорьевич",Лань:Учебники для вузов. Специальная литература,2489,4149,40,На складе
Основы объектно-ориентированного программирования на базе языка С#. Учебное пособие,Залогова Любовь Алексеевна,Лань:Учебники для вузов. Специальная литература,960,1600,40,Ограничено
"Golang для профи. Работа с сетью, многопоточность, структуры данных и машинное обучение с Go",Цукалос Михалис,Питер:Для профессионалов,4427,5676,22,На складе
Istio. Приступаем к работе,"Калькот Ли, Бутчер Зак",ДМК-Пресс,1841,3069,40,На складе
